Tue Jul 13 17:28:26 2021    output2.dat

         9700 function calls (9465 primitive calls) in 0.705 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\bz2.py:1(<module>)
     14/1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:435(_parse_sub)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\lzma.py:1(<module>)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.008    0.008 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\tempfile.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\pkgutil.py:1(<module>)
       30    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\spawn.py:87(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ctypes\_endian.py:1(<module>)
       77    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:233(__next)
      217    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
        1    0.000    0.000    0.012    0.012 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\heap.py:10(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
       17    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:117(poll)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\reduction.py:71(duplicate)
       88    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ctypes\__init__.py:142(_check_size)
      140    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       10    0.000    0.000    0.039    0.004 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:142(join)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:97(duplicate_for_child)
       10    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
        1    0.000    0.000    0.018    0.018 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\sharedctypes.py:10(<module>)
      140    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1106(create_module)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       50    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:57(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\sharedctypes.py:44(RawValue)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001A643E7A0D0}
       36    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\tempfile.py:134(rng)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\sharedctypes.py:198(__reduce__)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
     15/8    0.000    0.000    0.015    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\random.py:211(__reduce__)
       41    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\synchronize.py:10(<module>)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       28    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       40    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:357(assert_spawning)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\spawn.py:132(_check_not_importing_main)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
       98    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       54    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        8    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:276(_optimize_charset)
       30    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\posixpath.py:1(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\spawn.py:11(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       16    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\random.py:237(_randbelow_with_getrandbits)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       10    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\synchronize.py:50(__init__)
       10    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\abc.py:84(__new__)
        1    0.000    0.000    0.001    0.001 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\fnmatch.py:1(<module>)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:1(<module>)
       61    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\runpy.py:1(<module>)
       60    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       41    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:254(get)
       26    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       12    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       19    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       51    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:249(match)
       35    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:28(_close_handles)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\heap.py:205(_add_free_block)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\heap.py:296(malloc)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\bz2.py:27(BZ2File)
        1    0.000    0.000    0.001    0.001 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ctypes\__init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_ctypes.PyCSimpleType' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1114(exec_module)
       35    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:286(tell)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\heap.py:53(__getstate__)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\heap.py:268(free)
        2    0.000    0.000    0.000    0.000 <string>:2(getvalue)
       43    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:946(__init__)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\subprocess.py:272(_optim_args_from_interpreter_flags)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\functools.py:35(update_wrapper)
        9    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:84(opengroup)
       28    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\_weakrefset.py:39(_remove)
       38    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:160(__len__)
       29    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ctypes\__init__.py:391(__getitem__)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\subprocess.py:696(Popen)
        8    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\lzma.py:38(LZMAFile)
       16    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\random.py:343(choice)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1401(__init__)
       26    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:172(append)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:355(_escape)
        3    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\sharedctypes.py:148(make_property)
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\random.py:125(seed)
        1    0.000    0.000    0.020    0.020 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:132(Value)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:759(compile)
       12    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       40    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\functools.py:798(singledispatch)
       37    0.000    0.000    0.000    0.000 {built-in method builtins.min}
